CONSTRUCTOR_NAME;DRIVERID;DRIVER_NAME;DRIVER_NATIONALITY;ROUND;SEASON;CUIRCIT;CIRCUIT_NAME;LOCATION;COUNTRY;GRID;POSITION;STATUS;POINTS;LAPS;TIME;TIME_IN_MILLISECONDS;Q1_IN_MILLISECONDS;Q2_IN_MILLISECONDS;Q3_IN_MILLISECONDS;PIT_COUNT;AVG_PIT_DURATION;TOTAL_PIT_TIME
McLaren;1;Lewis Hamilton;British;1;2011;1;Albert Park Grand Prix Circuit;Melbourne;Australia;2;2;Finished;18.0;58;+22.297;5392556;1884000;2035000;1747000;2;23.213;46.426
McLaren;18;Jenson Button;British;1;2011;1;Albert Park Grand Prix Circuit;Melbourne;Australia;4;6;Finished;8.0;58;+54.304;5424563;2386000;2397000;2219000;3;20.9503;62.851
McLaren;18;Jenson Button;British;2;2011;2;Sepang International Circuit;Kuala Lumpur;Malaysia;4;2;Finished;18.0;56;+3.261;5863093;2253000;2669000;2300000;3;22.4513;67.354
McLaren;1;Lewis Hamilton;British;2;2011;2;Sepang International Circuit;Kuala Lumpur;Malaysia;2;8;Finished;4.0;56;+1:09.957;5929789;3021000;2952000;3014000;4;23.2527;93.011
McLaren;1;Lewis Hamilton;British;3;2011;17;Shanghai International Circuit;Shanghai;China;3;1;Finished;25.0;56;1:36:58.226;5818226;2251000;2526000;2503000;3;20.6593;61.978
McLaren;18;Jenson Button;British;3;2011;17;Shanghai International Circuit;Shanghai;China;2;4;Finished;12.0;56;+10.000;5828226;3024000;2702000;2461000;3;21.9247;65.774
McLaren;1;Lewis Hamilton;British;4;2011;5;Istanbul Park;Istanbul;Turkey;4;4;Finished;12.0;58;+40.232;5457790;1711000;1626000;2095000;4;24.9093;99.637
McLaren;18;Jenson Button;British;4;2011;5;Istanbul Park;Istanbul;Turkey;6;6;Finished;8.0;58;+59.431;5476989;1994000;2045000;2482000;3;21.808;65.424
McLaren;1;Lewis Hamilton;British;5;2011;4;Circuit de Barcelona-Catalunya;Montmeló;Spain;3;2;Finished;18.0;66;+0.630;5943931;1810000;1468000;2221000;4;20.3642;81.457
McLaren;18;Jenson Button;British;5;2011;4;Circuit de Barcelona-Catalunya;Montmeló;Spain;5;3;Finished;15.0;66;+35.697;5978998;1868000;1370000;2256000;3;20.295;60.885
McLaren;18;Jenson Button;British;6;2011;6;Circuit de Monaco;Monte-Carlo;Monaco;2;3;Finished;15.0;78;+2.378;7780751;1297000;1385000;1777000;3;25.457;76.371
McLaren;1;Lewis Hamilton;British;6;2011;6;Circuit de Monaco;Monte-Carlo;Monaco;9;6;Finished;8.0;78;+27.210;7805583;1107000;1115000;1180000;3;25.923;77.769
McLaren;18;Jenson Button;British;7;2011;7;Circuit Gilles Villeneuve;Montreal;Canada;7;1;Finished;25.0;70;4:04:39.537;14679537;1214000;1735000;1618000;6;23.5112;141.067
McLaren;1;Lewis Hamilton;British;8;2011;12;Valencia Street Circuit;Valencia;Spain;3;4;Finished;12.0;57;+46.190;6022359;2584000;2947000;2600000;3;20.529;61.587
