CONSTRUCTOR_NAME;DRIVERID;DRIVER_NAME;DRIVER_NATIONALITY;ROUND;SEASON;CIRCUIT;CIRCUIT_NAME;LOCATION;COUNTRY;GRID;POSITION;STATUS;POINTS;LAPS;TIME;TIME_IN_MILLISECONDS;Q1_IN_MILLISECONDS;Q2_IN_MILLISECONDS;Q3_IN_MILLISECONDS;PIT_COUNT;AVG_PIT_DURATION;TOTAL_PIT_TIME
Mercedes;30;Michael Schumacher;German;2;2011;2;Sepang International Circuit;Kuala Lumpur;Malaysia;11;9;Finished;2.0;56;+1:24.896;5944728;3064000;2255000;;3;22.3547;67.064
Mercedes;3;Nico Rosberg;German;3;2011;17;Shanghai International Circuit;Shanghai;China;4;5;Finished;10.0;56;+13.448;5831674;2372000;2950000;2710000;3;21.1653;63.496
Mercedes;30;Michael Schumacher;German;3;2011;17;Shanghai International Circuit;Shanghai;China;14;8;Finished;4.0;56;+31.026;5849252;2608000;2617000;;3;21.2953;63.886
Mercedes;3;Nico Rosberg;German;4;2011;5;Istanbul Park;Istanbul;Turkey;3;5;Finished;10.0;58;+47.539;5465097;2134000;2301000;2074000;4;21.1893;84.757
Mercedes;30;Michael Schumacher;German;4;2011;5;Istanbul Park;Istanbul;Turkey;8;12;Finished;0.0;58;+1:25.444;5503002;2317000;1681000;2206000;4;23.0162;92.065
Mercedes;30;Michael Schumacher;German;7;2011;7;Circuit Gilles Villeneuve;Montreal;Canada;8;4;Finished;12.0;70;+14.219;14693756;1810000;1082000;1644000;4;23.5923;94.369
Mercedes;3;Nico Rosberg;German;7;2011;7;Circuit Gilles Villeneuve;Montreal;Canada;6;11;Finished;0.0;70;+50.454;14729991;1760000;1730000;1594000;4;22.882;91.528
Mercedes;3;Nico Rosberg;German;8;2011;12;Valencia Street Circuit;Valencia;Spain;7;7;Finished;6.0;57;+1:38.090;6074259;2606000;2653000;2511000;3;21.8323;65.497
Mercedes;3;Nico Rosberg;German;9;2011;9;Silverstone Circuit;Silverstone;UK;9;6;Finished;8.0;52;+1:00.665;5381861;2226000;2215000;2129000;2;24.5605;49.121
Mercedes;30;Michael Schumacher;German;9;2011;9;Silverstone Circuit;Silverstone;UK;13;9;Finished;2.0;52;+1:17.912;5399108;2200000;2576000;;3;28.8813;86.644
Mercedes;30;Michael Schumacher;German;12;2011;13;Circuit de Spa-Francorchamps;Spa;Belgium;24;5;Finished;10.0;44;+47.464;5252357;;;;3;20.566;61.698
Mercedes;3;Nico Rosberg;German;12;2011;13;Circuit de Spa-Francorchamps;Spa;Belgium;5;6;Finished;8.0;44;+48.674;5253567;391000;903000;3552000;2;22.1305;44.261
Mercedes;30;Michael Schumacher;German;13;2011;14;Autodromo Nazionale di Monza;Monza;Italy;8;5;Finished;10.0;53;+32.677;4878849;1608000;2051000;2157000;2;22.3615;44.723
Mercedes;30;Michael Schumacher;German;15;2011;22;Suzuka Circuit;Suzuka;Japan;8;6;Finished;8.0;53;+27.120;5480547;2728000;2036000;;3;21.372;64.116
Mercedes;3;Nico Rosberg;German;15;2011;22;Suzuka Circuit;Suzuka;Japan;23;10;Finished;1.0;53;+44.322;5497749;;;;3;20.683;62.049
Mercedes;3;Nico Rosberg;German;16;2011;35;Korean International Circuit;Yeongam County;Korea;7;8;Finished;4.0;55;+54.053;5936047;2706000;3112000;2974000;2;20.4315;40.863
