CIRCUITID;CIRCUITREF;NAME;LOCATION;COUNTRY;LAT;LNG;ALT;URL
1;albert_park;Albert Park Grand Prix Circuit;Melbourne;Australia;-37.84970;144.968000;10;http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
2;sepang;Sepang International Circuit;Kuala Lumpur;Malaysia;2.76083;101.738000;18;http://en.wikipedia.org/wiki/Sepang_International_Circuit
3;bahrain;Bahrain International Circuit;Sakhir;Bahrain;26.03250;50.510600;7;http://en.wikipedia.org/wiki/Bahrain_International_Circuit
4;catalunya;Circuit de Barcelona-Catalunya;MontmelÃ³;Spain;41.57000;2.261110;109;http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
5;istanbul;Istanbul Park;Istanbul;Turkey;40.95170;29.405000;130;http://en.wikipedia.org/wiki/Istanbul_Park
6;monaco;Circuit de Monaco;Monte-Carlo;Monaco;43.73470;7.420560;7;http://en.wikipedia.org/wiki/Circuit_de_Monaco
7;villeneuve;Circuit Gilles Villeneuve;Montreal;Canada;45.50000;-73.522800;13;http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
8;magny_cours;Circuit de Nevers Magny-Cours;Magny Cours;France;46.86420;3.163610;228;http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours
9;silverstone;Silverstone Circuit;Silverstone;UK;52.07860;-1.016940;153;http://en.wikipedia.org/wiki/Silverstone_Circuit
10;hockenheimring;Hockenheimring;Hockenheim;Germany;49.32780;8.565830;103;http://en.wikipedia.org/wiki/Hockenheimring
11;hungaroring;Hungaroring;Budapest;Hungary;47.57890;19.248600;264;http://en.wikipedia.org/wiki/Hungaroring
12;valencia;Valencia Street Circuit;Valencia;Spain;39.45890;-0.331667;4;http://en.wikipedia.org/wiki/Valencia_Street_Circuit
13;spa;Circuit de Spa-Francorchamps;Spa;Belgium;50.43720;5.971390;401;http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
14;monza;Autodromo Nazionale di Monza;Monza;Italy;45.61560;9.281110;162;http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
15;marina_bay;Marina Bay Street Circuit;Marina Bay;Singapore;1.29140;103.864000;18;http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
16;fuji;Fuji Speedway;Oyama;Japan;35.37170;138.927000;583;http://en.wikipedia.org/wiki/Fuji_Speedway
17;shanghai;Shanghai International Circuit;Shanghai;China;31.33890;121.220000;5;http://en.wikipedia.org/wiki/Shanghai_International_Circuit
18;interlagos;AutÃ³dromo JosÃ© Carlos Pace;SÃ£o Paulo;Brazil;-23.70360;-46.699700;785;http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
19;indianapolis;Indianapolis Motor Speedway;Indianapolis;USA;39.79500;-86.234700;223;http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
20;nurburgring;NÃ¼rburgring;NÃ¼rburg;Germany;50.33560;6.947500;578;http://en.wikipedia.org/wiki/N%C3%BCrburgring
21;imola;Autodromo Enzo e Dino Ferrari;Imola;Italy;44.34390;11.716700;37;http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
22;suzuka;Suzuka Circuit;Suzuka;Japan;34.84310;136.541000;45;http://en.wikipedia.org/wiki/Suzuka_Circuit
80;vegas;Las Vegas Strip Street Circuit;Las Vegas;United States;36.11470;-115.173000;642;https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit
24;yas_marina;Yas Marina Circuit;Abu Dhabi;UAE;24.46720;54.603100;3;http://en.wikipedia.org/wiki/Yas_Marina_Circuit
25;galvez;AutÃ³dromo Juan y Oscar GÃ¡lvez;Buenos Aires;Argentina;-34.69430;-58.459300;8;http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
26;jerez;Circuito de Jerez;Jerez de la Frontera;Spain;36.70830;-6.034170;37;http://en.wikipedia.org/wiki/Circuito_Permanente_de_Jerez
